epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5193,1.20097,3.20574,1.32305,0.32945,0.22787,0.15698,0.11523,0.97411,2.49275,1.19724,0.000158363,0.000158363,0.000158363
2,134.588,1.21212,2.44319,1.30785,0.3091,0.33724,0.18541,0.13888,0.95717,2.25087,1.18792,0.000306568,0.000306568,0.000306568
3,194.558,1.21351,2.25888,1.30068,0.41454,0.30142,0.24884,0.18473,0.98559,2.25187,1.1716,0.000444301,0.000444301,0.000444301
4,254.494,1.20972,2.10832,1.29226,0.47962,0.26085,0.2634,0.20042,0.97797,2.15461,1.19082,0.000428876,0.000428876,0.000428876
5,315.122,1.18462,2.00423,1.27656,0.4784,0.28548,0.30948,0.23117,0.9807,1.99726,1.19286,0.000413168,0.000413168,0.000413168
6,373.765,1.17985,1.89572,1.26483,0.4885,0.30807,0.32714,0.24988,0.95801,2.0077,1.16092,0.00039746,0.00039746,0.00039746
7,434.624,1.16903,1.85947,1.26671,0.4208,0.40106,0.34665,0.26045,0.91932,1.874,1.14738,0.000381752,0.000381752,0.000381752
8,497.251,1.16645,1.77685,1.25446,0.43428,0.3911,0.34842,0.26302,0.91634,1.93481,1.14725,0.000366044,0.000366044,0.000366044
9,559.973,1.15044,1.72888,1.24928,0.49374,0.37252,0.38285,0.29686,0.91147,1.85788,1.13541,0.000350336,0.000350336,0.000350336
10,622.676,1.14425,1.68421,1.246,0.46915,0.37811,0.39575,0.31079,0.90727,1.80856,1.13793,0.000334628,0.000334628,0.000334628
11,685.119,1.11234,1.63164,1.23601,0.46645,0.39559,0.38204,0.30098,0.89191,1.88905,1.13015,0.00031892,0.00031892,0.00031892
12,747.738,1.12258,1.59599,1.2302,0.53303,0.35594,0.39554,0.31715,0.8833,1.74207,1.13151,0.000303212,0.000303212,0.000303212
13,810.779,1.11345,1.57541,1.22917,0.50618,0.40129,0.3861,0.29993,0.88098,1.7377,1.11637,0.000287504,0.000287504,0.000287504
14,874.758,1.1057,1.54331,1.22583,0.40738,0.43219,0.40869,0.32084,0.87292,1.64,1.11028,0.000271796,0.000271796,0.000271796
15,938.7,1.09725,1.5044,1.21428,0.51736,0.3884,0.40101,0.31078,0.88217,1.6946,1.1223,0.000256088,0.000256088,0.000256088
16,1002.41,1.09742,1.48917,1.21498,0.52229,0.41845,0.43474,0.34099,0.87874,1.6912,1.10965,0.00024038,0.00024038,0.00024038
17,1065.79,1.09376,1.44728,1.20981,0.55173,0.38565,0.41054,0.32645,0.87539,1.72764,1.11209,0.000224672,0.000224672,0.000224672
18,1128.49,1.08,1.42946,1.20549,0.51904,0.42603,0.44309,0.3509,0.86335,1.68767,1.09648,0.000208964,0.000208964,0.000208964
19,1191.82,1.07552,1.39521,1.20042,0.49046,0.4379,0.45068,0.36138,0.85889,1.69983,1.10174,0.000193256,0.000193256,0.000193256
20,1254.53,1.06494,1.37444,1.19596,0.52083,0.42272,0.44128,0.35421,0.85952,1.70638,1.09818,0.000177548,0.000177548,0.000177548
21,1336.56,1.07737,1.38544,1.19946,0.47474,0.45273,0.44929,0.36054,0.87775,1.64028,1.10934,0.00016184,0.00016184,0.00016184
22,1397.99,1.06623,1.32018,1.19493,0.46608,0.44423,0.43087,0.3447,0.85999,1.70484,1.09572,0.000146132,0.000146132,0.000146132
23,1459.37,1.06004,1.29137,1.18758,0.46624,0.49848,0.4564,0.36716,0.84932,1.60795,1.0914,0.000130424,0.000130424,0.000130424
24,1521.92,1.04585,1.24787,1.17965,0.58318,0.41682,0.46917,0.38207,0.85447,1.61863,1.09257,0.000114716,0.000114716,0.000114716
25,1584.54,1.04483,1.22211,1.17338,0.53525,0.43701,0.45804,0.37236,0.86004,1.67186,1.09529,9.9008e-05,9.9008e-05,9.9008e-05
26,1645.94,1.03761,1.20413,1.17323,0.57011,0.42284,0.45944,0.36874,0.84965,1.60106,1.07871,8.33e-05,8.33e-05,8.33e-05
27,1708.19,1.03285,1.17706,1.1606,0.58903,0.41203,0.46283,0.37699,0.83484,1.59781,1.07576,6.7592e-05,6.7592e-05,6.7592e-05
28,1770.36,1.02743,1.14107,1.16249,0.48409,0.46708,0.47372,0.38608,0.83903,1.605,1.08054,5.1884e-05,5.1884e-05,5.1884e-05
29,1833.1,1.01643,1.11535,1.15268,0.4859,0.46438,0.47402,0.3858,0.84125,1.57682,1.07845,3.6176e-05,3.6176e-05,3.6176e-05
30,1894.6,1.01584,1.10511,1.15101,0.52014,0.46378,0.47944,0.38921,0.83626,1.60145,1.07942,2.0468e-05,2.0468e-05,2.0468e-05
