epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.021,0.35887,3.86358,1.03632,0.38317,0.419,0.28249,0.28029,0.19955,2.17214,0.64129,3.53237e-05,3.53237e-05,3.53237e-05
2,1203.14,0.23878,2.20504,0.97485,0.58088,0.72287,0.70463,0.70155,0.17579,1.2506,0.72499,6.71595e-05,6.71595e-05,6.71595e-05
3,1987.13,0.19524,1.54263,0.94438,0.70551,0.88223,0.88317,0.88233,0.1735,0.88927,0.72799,9.54973e-05,9.54973e-05,9.54973e-05
4,2763.05,0.17191,1.21695,0.93047,0.86087,0.91741,0.95266,0.95258,0.1445,0.5909,0.73434,9.0259e-05,9.0259e-05,9.0259e-05
5,3225.43,0.15628,1.02373,0.92219,0.91326,0.93867,0.97136,0.97106,0.12407,0.50899,0.73401,8.5012e-05,8.5012e-05,8.5012e-05
6,3468.69,0.14469,0.88409,0.9162,0.91703,0.94204,0.97705,0.97697,0.1052,0.44738,0.72439,7.9765e-05,7.9765e-05,7.9765e-05
7,3711.95,0.1381,0.81158,0.91318,0.95559,0.96252,0.98461,0.98456,0.11352,0.34747,0.73136,7.4518e-05,7.4518e-05,7.4518e-05
8,3955.18,0.1317,0.72692,0.91206,0.95855,0.97097,0.9892,0.98907,0.10002,0.30919,0.72072,6.9271e-05,6.9271e-05,6.9271e-05
9,4371.41,0.12652,0.68297,0.90875,0.96536,0.9779,0.988,0.98785,0.09557,0.28673,0.72806,6.4024e-05,6.4024e-05,6.4024e-05
10,5011.59,0.12234,0.6346,0.90805,0.97532,0.98213,0.99028,0.99015,0.08609,0.2513,0.72457,5.8777e-05,5.8777e-05,5.8777e-05
11,5478.2,0.05986,0.43545,0.90519,0.98282,0.98063,0.99094,0.99094,0.09308,0.28009,0.71908,5.353e-05,5.353e-05,5.353e-05
12,5874.15,0.04865,0.33599,0.9029,0.97721,0.98434,0.99132,0.99086,0.12912,0.35408,0.77688,4.8283e-05,4.8283e-05,4.8283e-05
13,6409.79,0.04418,0.28542,0.90204,0.97987,0.99082,0.99322,0.99266,0.12638,0.35622,0.76167,4.3036e-05,4.3036e-05,4.3036e-05
14,7030.7,0.04134,0.25494,0.90098,0.9883,0.98805,0.99348,0.99333,0.11502,0.3492,0.74996,3.7789e-05,3.7789e-05,3.7789e-05
15,7738.7,0.03871,0.22727,0.90098,0.99254,0.99304,0.99426,0.99343,0.12548,0.36952,0.77188,3.2542e-05,3.2542e-05,3.2542e-05
16,8452.34,0.03629,0.20193,0.89936,0.98734,0.99295,0.99444,0.99382,0.13789,0.40165,0.79263,2.7295e-05,2.7295e-05,2.7295e-05
17,9174.62,0.03451,0.19202,0.9002,0.99149,0.99395,0.99465,0.99407,0.13314,0.38877,0.79032,2.2048e-05,2.2048e-05,2.2048e-05
18,9852.99,0.03287,0.1671,0.90105,0.99132,0.9946,0.99468,0.99417,0.11442,0.34478,0.75095,1.6801e-05,1.6801e-05,1.6801e-05
19,10554.6,0.0314,0.16051,0.89854,0.99162,0.99371,0.99473,0.99432,0.12054,0.36799,0.77216,1.1554e-05,1.1554e-05,1.1554e-05
20,11251.7,0.02948,0.14785,0.89861,0.99265,0.99489,0.99485,0.99459,0.11042,0.33095,0.75384,6.307e-06,6.307e-06,6.307e-06
